word	onset	duration
BECAUSE	173.8425	1.9300
THEY'LL	175.7725	0.1700
KNOW	175.9425	0.2800
WE'VE	176.2225	0.2200
BEEN	176.4425	0.1300
LISTENING	176.5725	0.4200
GOD	176.9925	0.1000
AND	177.7425	0.2600
TO	178.3525	0.0600
HAVE	178.5825	0.2600
TO	178.8425	0.1000
HEAR	178.9425	0.3400
ABOUT	179.2825	0.2500
IT	179.5325	0.0900
FROM	179.6525	0.3200
GUNTHER	180.2325	0.6200
COME	180.8525	0.2600
ON	181.1125	0.1600
LIKE	181.2725	0.1800
I	181.4525	0.0800
WANTED	181.5325	0.3300
HIM	181.8625	0.1400
TO	182.0025	0.0700
TELL	182.0725	0.2100
YOU	182.2825	0.2000
I	182.4825	0.1700
RAN	182.6525	0.2900
ALL	182.9425	0.2700
OVER	183.2425	0.2400
THE	183.4825	0.0800
PLACE	183.5625	0.3100
TRYING	183.8725	0.1700
TO	184.0425	0.0600
MAKE	184.1025	0.1500
SURE	184.2525	0.1300
THAT	184.3825	0.3100
DIDN'T	184.6925	0.1700
HAPPEN	184.8625	0.4700
OH	186.9025	0.5900
THAT	187.5425	0.4300
IS	188.0425	0.1700
SO	188.2125	0.3200
SWEET	188.5325	0.6800
I	189.8725	0.6500
THINK	191.3925	0.4500
I'M	191.8425	0.1300
FALLING	191.9725	0.3900
IN	192.3625	0.0800
LOVE	192.4425	0.2000
WITH	192.6425	0.1500
YOU	192.7925	0.1500
ALL	192.9425	0.2800
OVER	193.2225	0.3700
AGAIN	193.5925	2.0300
YOU	196.5625	0.1000
KNOW	196.6625	0.0800
WHAT	196.7425	0.2500
I	196.9925	0.0700
THINK	197.0625	0.2600
WE	197.3225	0.0800
CAN	197.4025	0.0900
GO	197.4925	0.2200
OUT	197.7125	0.2000
THERE	197.9625	0.3000
THEY	198.2625	0.1400
HAVE	198.4025	0.2400
MORE	198.6425	0.1900
IMPORTANT	198.8325	0.3900
THINGS	199.2225	0.2200
TO	199.4425	0.0900
WORRY	199.5325	0.2800
ABOUT	199.8125	0.3900
YEAH	200.2025	0.4100
WE'LL	200.6125	0.1500
BE	200.7625	0.1100
FINE	200.8725	0.4700
LOOK	201.6125	0.2200
RACHEL	201.9125	0.4400
I	202.3525	0.1700
WANTED	202.5225	0.6000
TO	203.1225	0.1300
TELL	203.2525	0.2800
YOU	203.5325	0.1700
I	203.7025	0.1600
THOUGHT	203.8625	0.3300
I	204.1925	0.1000
SHOULD	204.2925	0.4100
I	204.7025	0.3000
DID	205.0025	0.3100
AND	205.3125	0.1100
THEN	205.4225	0.2200
CHANDLER	205.6425	0.3700
AND	206.0125	0.0900
JOEY	206.1025	0.3300
CONVINCED	206.4325	0.5300
ME	206.9625	0.1000
NOT	207.0625	0.4000
TO	207.4625	0.3600
WAX	208.2925	4.5900
THE	212.8825	0.0600
DOOR	212.9425	0.2400
SHUT	213.1825	0.2600
WE'RE	213.4425	0.1000
NEVER	213.5425	0.2400
LEAVING	213.7825	0.3000
EVER	214.0825	0.8700
HI	214.9525	1.7300
IT'S	216.8125	0.4700
PHOEBE	217.2825	0.6700
LISTEN	217.9525	0.2300
SOMEONE'S	218.1825	0.3700
GOING	218.5525	0.1300
TO	218.6825	0.0600
HAVE	218.7425	0.1600
TO	218.9025	0.1200
TAKE	219.0225	0.2200
MY	219.2425	0.1100
900	219.3525	0.5600
WITH	219.9125	0.1100
MR	220.0225	0.2900
REHAK	220.3125	0.4500
BECAUSE	220.7625	0.2500
IT'S	221.0125	0.1700
LIKE	221.1825	0.1800
915	221.3625	0.7700
NOW	222.1325	0.3200
AND	222.4525	0.1000
I'M	222.5525	0.1200
NOT	222.6725	0.2100
THERE	222.8825	0.2700
NO	223.6025	0.2200
I'M	223.8225	1.7700
IN	225.7125	0.1400
THE	225.8525	0.3300
MIDDLE	226.3325	0.5100
OF	226.8425	0.1000
A	226.9425	0.1300
HUGE	227.5125	0.3800
RELATIONSHIP	227.8925	0.6500
FIGHT	228.5425	0.4100
OH	229.0225	0.0500
THAT'S	230.0225	0.4400
ALL	230.4625	0.0700
RIGHT	230.5325	0.1800
IT'S	230.7125	0.1300
NOT	230.8425	0.4600
MINE	231.6125	1.2100
DON'T	232.9225	0.1700
YOU	233.0925	0.1500
REALIZE	233.2425	0.5400
NONE	233.7825	0.2100
OF	233.9925	0.0800
THIS	234.0725	0.1900
WOULD	234.2625	0.1500
EVER	234.4125	0.2000
HAVE	234.6125	0.1500
HAPPENED	234.7625	0.3700
IF	235.1325	0.1100
I	235.2425	0.1300
DIDN'T	235.3725	0.1300
THINK	235.5025	0.1500
AT	235.6525	0.1300
THAT	235.7825	0.1600
SAME	235.9425	0.3800
MOMENT	236.3225	0.4000
YOU	236.7225	0.0900
WERE	236.8125	0.1800
HAVING	236.9925	0.2100
SEX	237.2025	0.3500
WITH	237.5525	0.1500
MARK	237.7025	0.4200
ALL	239.2025	0.1700
RIGHT	239.3725	0.3500
LET'S	240.9925	0.1200
SAY	241.1125	0.2100
I	241.3225	0.1300
HAD	241.4525	0.3800
SLEPT	241.8325	0.4200
WITH	242.2525	0.1300
MARK	242.3825	0.2800
WOULD	243.5825	0.1300
YOU	243.7125	0.1600
HAVE	243.8725	0.4900
BEEN	244.3625	0.1400
ABLE	244.5025	0.4000
TO	248.0325	0.7000
FORGIVE	249.4525	0.2100
ME	249.6625	0.1200
YES	249.7825	1.6600
I	251.4425	0.3700
WOULD	252.0325	0.1100
YOU'D	252.1425	0.1800
BE	252.3225	0.1500
OKAY	252.4725	0.4300
IF	252.9025	0.1400
YOU	253.0425	0.1600
KNEW	253.2025	0.4300
THAT	253.8925	0.1800
MARK	254.0725	0.2800
HAD	254.3525	0.1800
KISSED	254.5325	0.5200
ME	255.0525	0.3800
AND	255.6225	0.1800
BEEN	255.8025	0.1300
NAKED	255.9325	0.4400
WITH	256.3725	0.1700
ME	256.5425	0.2400
AND	256.7825	0.1500
MADE	256.9325	0.2500
LOVE	257.1825	0.2200
TO	257.4025	0.1500
ME	257.5525	0.2300
YES	259.6325	0.6200
IF	260.4125	0.1700
YOU	260.5825	0.0600
KNEW	260.6425	0.0600
THAT	260.7025	1.7200
OUR	262.4225	0.3000
HOT	262.7225	0.6300
SWEATY	263.7025	0.8800
WRITHING	264.5825	1.1900
BODIES	265.7725	0.3600
LA	266.1325	0.2200
LA	266.3525	0.1600
LA	266.5125	0.1700
LA	266.6825	0.1500
LA	266.8325	0.1600
LA	266.9925	0.1400
LA	267.1325	0.1700
LA	267.3025	0.2700
LA	267.5725	1.6500
OKAY	270.3025	0.2900
OKAY	270.5925	0.3800
YEAH	270.9725	0.1600
IT	271.1825	0.2400
I	271.6025	0.1200
WOULD	271.7225	0.2300
HAVE	271.9525	0.0900
BEEN	272.0425	0.0900
DEVASTATED	272.1325	0.7300
BUT	272.8625	0.3200
I	274.6525	0.1500
WOULD	274.8025	0.1700
STILL	274.9725	0.2300
WANT	275.2025	0.2000
TO	275.4025	0.0600
BE	275.4625	0.1900
WITH	275.6525	0.2000
YOU	275.8525	0.3600
BECAUSE	277.5525	0.3900
IT'S	277.9425	0.4000
I	278.6325	0.0300
MEAN	278.6625	0.1700
IT'S	278.8325	0.2000
YOU	279.0325	0.3900
AWW	280.5025	0.9100
WHAT	281.7525	0.1700
COME	281.9225	0.1000
ON	282.0225	0.0700
RACH	282.0925	1.5800
TELL	283.6725	0.2600
ME	283.9325	5.7600
WHAT	291.7325	0.5400
YOU'RE	292.2725	0.4700
THINKING	292.7425	0.5500
I'M	297.0925	0.1600
THINKING	297.2525	0.6800
I'M	301.7025	0.1500
GOING	301.8525	0.4900
TO	302.3425	0.2300
ORDER	303.3825	0.4900
A	303.8725	0.7900
PIZZA	304.6625	0.7400
ORDER	306.7725	0.2600
A	307.0325	0.0700
PIZZA	307.1025	0.5000
LIKE	307.6025	0.4400
I	309.3925	0.1600
FORGIVE	309.5525	0.4500
YOU	310.0025	0.2800
OH	311.1225	0.0600
MAN	311.1825	6.0100
PIZZA	318.0725	0.5600
I	319.0125	1.4700
LIKE	320.4825	0.2200
PIZZA	320.7025	2.0400
PUT	323.5325	0.3700
OLIVES	323.9025	0.4700
ON	324.3725	0.1100
THE	324.4825	0.1000
PIZZA	324.5825	0.4500
WE	325.0325	0.1800
COULD	325.2125	0.1200
EAT	325.3325	0.0800
THE	325.4125	0.1100
WAX	325.5225	6.1600
IT'S	331.6825	0.7600
ORGANIC	332.9825	1.2900
OH	334.2725	0.2400
GREAT	334.5125	0.4000
FOOD	334.9125	0.3800
WITH	335.2925	0.1300
HAIR	335.4225	0.5300
ON	336.2825	1.6100
IT	337.8925	0.5400
NO	338.4325	0.3200
NOT	338.7525	0.2500
THE	339.0025	0.1600
USED	339.1625	0.4000
WAX	339.5625	0.6400
BECAUSE	340.4025	0.4800
THAT	340.8825	0.4000
WOULD	341.2825	0.1700
BE	341.4525	0.1700
CRAZY	341.6225	0.4300
HEY	342.0525	0.0900
COULD	342.1425	0.0900
I	342.2325	2.7900
COULD	345.0225	0.9700
I	345.9925	0.1900
GET	346.6225	0.3000
IN	346.9225	0.2200
ON	347.1425	0.1400
THAT	347.2825	0.2300
BECAUSE	347.5125	0.3600
I'M	347.8725	0.2200
KIND	348.3125	0.1900
OF	348.5025	0.0600
HUNGRY	348.5625	0.2100
MYSELF	348.7725	0.5500
FINE	349.6525	0.5200
HI	351.2125	0.2600
YES	351.4725	0.1900
I'D	351.6625	0.0700
LIKE	351.7325	0.1700
TO	351.9025	0.0800
ORDER	351.9825	0.2500
A	352.2325	0.0300
LARGE	352.2625	0.4200
PIZZA	352.6825	0.4300
NO	353.1125	0.1800
ANCHOVIES	354.1925	0.7700
WITH	354.9625	0.2200
EXTRA	355.1825	0.5500
ANCHOVIES	355.7325	0.8100
IT'S	356.5425	0.0900
OKAY	356.6325	0.1300
I'LL	356.7625	1.4700
JUST	358.2325	0.5000
PICK	358.7325	0.1500
THEM	358.8825	0.1700
OFF	359.0525	0.4300
AND	359.6225	0.3600
COULD	359.9825	0.1700
YOU	360.1525	0.1000
PLEASE	360.2525	0.3600
CHOP	360.6125	0.3200
SOME	360.9325	0.2500
UP	361.1825	0.1400
AND	361.3225	0.0900
JUST	361.4125	0.1600
PUT	361.5725	0.1200
IT	361.6925	0.0600
RIGHT	361.7525	0.2000
THERE	361.9525	0.1300
IN	362.0825	0.0700
THE	362.1525	0.0600
SAUCE	362.2125	0.4900
YOU	362.7025	0.0600
CAN	362.7625	4.1300
HAVE	369.8425	0.3500
THE	370.1925	0.0600
LAST	370.2525	0.2700
PIECE	370.5225	0.3000
IF	370.8225	0.0600
YOU	370.8825	0.0800
WANT	370.9625	0.2500
WELL	372.2325	0.0900
I	372.3225	0.0600
SHOULD	372.3825	0.1900
THINK	372.5725	0.2200
SO	372.7925	0.3400
YOU	373.2825	0.0800
SLEPT	373.3625	0.3300
WITH	373.6925	0.0900
SOMEONE	373.7825	0.4400
THEY'RE	374.4325	1.8700
GOING	376.3025	0.2000
TO	376.5025	1.2900
GET	377.7925	10.3100
THROUGH	388.1025	0.3400
THIS	388.4425	0.2300
AREN'T	388.6725	0.1900
THEY	388.8625	0.1900
YEAH	390.7525	0.3900
COME	391.4625	0.2600
ON	391.7225	0.1900
IT'S	391.9125	0.1800
ROSS	392.0925	0.2900
AND	392.3825	0.0900
RACHEL	392.4725	0.5100
THEY'VE	393.6425	0.1900
GOT	393.8325	0.2400
TO	394.0725	0.2600
WHAT	396.5825	0.1600
IF	396.7425	0.1200
THEY	396.8625	0.1400
DON'T	397.0025	0.3600
YOU	402.3625	0.0800
THINK	402.4425	0.2800
I	402.7225	0.0300
NEED	402.7525	0.1800
A	402.9325	0.0400
NEW	402.9725	0.2100
WALK	403.1825	0.5200
WHAT	404.0925	3.9600
WELL	408.0525	0.3400
YOU	409.1625	0.3000
KNOW	409.6025	0.0900
I'VE	409.7725	0.1400
BEEN	409.9125	0.1600
WALKING	410.0725	0.3000
THE	410.3725	0.0600
SAME	410.4325	0.2900
WAY	410.7225	0.1700
SINCE	410.8925	0.2500
HIGH	411.1425	0.2200
SCHOOL	411.3625	0.4200
YOU	411.9425	0.1000
KNOW	412.0625	0.1000
HOW	412.1625	1.4200
SOME	413.7525	0.3900
GUYS	414.1425	0.2900
THEY	414.4325	0.0600
WALK	414.4925	0.3300
INTO	414.8225	0.2200
A	415.0425	0.0300
ROOM	415.0725	0.3300
AND	415.4025	0.1100
EVERYBODY	415.5125	0.4800
TAKES	415.9925	0.2800
NOTICE	416.2725	0.4300
I	417.3925	0.1000
THINK	417.4925	0.1900
I	417.6825	0.0700
NEED	417.7525	0.1700
A	417.9225	0.0500
TAKE	417.9725	0.2800
NOTICE	418.2525	0.3300
WALK	418.5825	0.3700
ARE	419.0925	0.0400
YOU	419.1325	0.0900
ACTUALLY	419.3025	1.3200
SAYING	420.6425	0.7800
THESE	421.4225	0.2100
WORDS	421.6325	0.4200
WHAT	422.0525	0.0900
NOW	422.1425	1.3800
YOU'RE	423.5525	0.1000
NOT	423.6525	4.1600
EVEN	427.8125	0.4600
TALKING	428.2725	0.3300
TO	428.6025	0.0600
ME	428.6625	0.1800
LOOK	432.7925	0.2100
RACHEL	433.0025	0.6300
I'M	433.7525	0.1700
SORRY	433.9225	0.5400
OKAY	434.7925	0.3700
I'M	435.1625	0.1700
SORRY	435.3325	0.4500
I	435.7825	0.0300
WAS	435.8125	0.2200
OUT	436.0625	0.1300
OF	436.1925	0.0600
MY	436.2525	0.1300
MIND	436.3825	0.6200
I	437.3525	0.0800
THOUGHT	437.4325	0.2000
I'D	437.6325	0.1700
LOST	437.8025	0.2900
YOU	438.0925	0.1200
I	438.2125	0.0300
DIDN'T	438.2425	0.1300
KNOW	438.3725	0.0800
WHAT	438.4525	0.1000
TO	438.5525	0.1100
DO	438.6625	0.3200
COME	438.9825	0.2200
ON	439.2025	0.2500
COME	439.4525	0.2200
ON	439.6725	0.2400
HOW	439.9125	0.2200
INSANE	440.1325	0.3200
MUST	440.4525	0.2000
I	440.6525	0.1000
HAVE	440.7525	0.0900
BEEN	440.8425	0.1700
TO	441.0125	0.0700
DO	441.0825	0.1600
SOMETHING	441.2425	0.3500
LIKE	441.5925	0.2100
THIS	441.8025	0.2700
HUH	442.0725	0.2200
I	442.2925	0.1200
DON'T	442.4125	0.4100
CHEAT	442.8225	0.4700
RIGHT	443.8125	0.4800
THAT'S	444.4525	0.2500
NOT	444.7025	0.1800
ME	444.8825	0.3600
I'M	445.2425	0.2100
