word	onset	duration
WORRY	338.6125	0.3300
ABOUT	338.9425	0.4600
ME	340.2825	0.0900
I'LL	340.5725	2.2900
BE	342.8625	0.0600
FINE	342.9225	6.0900
OH	349.0125	0.3900
MY	349.4025	2.5400
GOD	352.1125	0.4400
BARRY	352.6325	0.5800
YOU	353.3125	0.4600
SAID	353.7725	0.2100
YOU	353.9825	0.0600
WERE	354.0425	0.0700
GOING	354.1125	0.1500
TO	354.2625	0.0600
BE	354.3225	0.0600
AWAY	354.3825	0.1300
ALL	354.5125	0.1900
WEEKEND	354.7025	0.5000
OH	355.2025	0.0400
THAT'S	355.2425	2.1000
RIGHT	357.3925	0.6600
I'M	358.1925	0.2100
SORRY	358.4025	0.5300
I'M	359.2225	0.2900
EARLY	359.5125	0.5500
FINISH	360.2225	0.5000
PLEASE	360.8025	0.6700
SUPRISE	361.5325	0.3500
LOOK	361.8825	0.1800
WHO'S	362.0625	7.0900
BACK	369.1525	0.3500
HEY	369.5025	2.7800
PHEEBS	372.3425	0.7500
HEY	373.0925	0.3400
CALL	373.6825	0.1700
SECURITY	373.8525	0.5200
PHEEBS	374.5325	1.2000
UH	375.7825	0.1600
DIDN'T	375.9425	0.5100
YOU	376.4525	0.1600
GET	376.6125	0.5400
FIRED	377.3325	0.4900
I	378.2925	0.3000
DON'T	378.5925	0.2100
THINK	378.8025	0.2200
SO	379.0225	0.4200
PHOEBE	380.0425	0.3800
JACK	381.1125	0.1400
HEY	381.2525	0.3300
HEY	381.9025	0.5500
WHAT	382.4525	1.5900
ARE	384.0425	0.1000
YOU	384.1425	0.1400
DOING	384.2825	0.2500
HERE	384.5325	0.1500
ALL	385.0725	0.2400
BETTER	385.3125	0.3500
BACK	385.6625	0.2600
TO	385.9225	0.0900
WORK	386.0125	0.3300
EXCEPT	386.6725	0.2200
THIS	386.8925	0.1600
CLOWN	387.0525	0.2900
FROM	387.3425	0.1700
RESEARCH	387.5125	0.5000
TOLD	388.0125	0.1900
ME	388.2025	0.0800
I	388.2825	0.1000
WAS	388.3825	0.1800
FIRED	388.5625	0.4700
HE	389.0325	0.0700
SHOULD	389.1025	0.2100
DO	389.3125	0.0800
HIS	389.3925	0.1700
RESEARCH	389.5625	0.4400
HUH	390.0025	0.2100
WELL	390.6325	1.3100
YOU	392.3225	0.2300
WERE	392.5525	0.1600
FIRED	392.7125	0.3600
NUH	393.6625	0.2300
UH	393.8925	0.0300
I	393.9225	0.0300
TOLD	393.9525	1.1100
THAT	395.4125	0.4400
GUY	396.2825	1.4200
WHO	397.7225	0.2000
ANSWEED	397.9225	0.6000
YOUR	398.5225	0.1800
PHONE	398.7025	0.3100
OH	399.5025	0.6800
OKAY	400.1825	0.4200
I	400.6025	0.1700
DIDN'T	400.7725	0.1900
GT	400.9625	0.1500
THAT	401.1125	0.1900
MESSAGE	401.3025	0.4600
SO	401.7625	0.3400
THIS	402.1025	0.2600
DOESN'T	402.3625	0.2900
COUNT	402.6525	0.2500
ANYWAY	402.9025	0.3500
I'LL	403.2525	0.1300
BE	403.3825	0.0900
IN	403.4725	0.0900
MY	403.5625	1.0000
OFFICE	404.5625	0.3300
UH	404.8925	0.1900
PHOEBE	405.0825	0.5200
I	405.6025	0.1500
YOU	405.7525	0.4600
YOU	406.2125	0.1600
DON'T	406.3725	0.2000
HAVE	406.5725	0.1600
AN	406.7325	0.0800
OFFICE	406.8125	0.5000
THAT'S	408.1925	0.1900
